,project,article,granularity,timestamp,access,agent,views
0,en.wikipedia,Bitcoin,daily,2020010100,all-access,all-agents,12716
1,en.wikipedia,Bitcoin,daily,2020010200,all-access,all-agents,12265
2,en.wikipedia,Bitcoin,daily,2020010300,all-access,all-agents,15018
3,en.wikipedia,Bitcoin,daily,2020010400,all-access,all-agents,8099
4,en.wikipedia,Bitcoin,daily,2020010500,all-access,all-agents,6024
5,en.wikipedia,Bitcoin,daily,2020010600,all-access,all-agents,8450
6,en.wikipedia,Bitcoin,daily,2020010700,all-access,all-agents,15005
7,en.wikipedia,Bitcoin,daily,2020010800,all-access,all-agents,14892
8,en.wikipedia,Bitcoin,daily,2020010900,all-access,all-agents,16008
9,en.wikipedia,Bitcoin,daily,2020011000,all-access,all-agents,12923
10,en.wikipedia,Bitcoin,daily,2020011100,all-access,all-agents,7131
11,en.wikipedia,Bitcoin,daily,2020011200,all-access,all-agents,15858
12,en.wikipedia,Bitcoin,daily,2020011300,all-access,all-agents,16539
13,en.wikipedia,Bitcoin,daily,2020011400,all-access,all-agents,17602
14,en.wikipedia,Bitcoin,daily,2020011500,all-access,all-agents,16450
15,en.wikipedia,Bitcoin,daily,2020011600,all-access,all-agents,7114
16,en.wikipedia,Bitcoin,daily,2020011700,all-access,all-agents,6076
17,en.wikipedia,Bitcoin,daily,2020011800,all-access,all-agents,7405
18,en.wikipedia,Bitcoin,daily,2020011900,all-access,all-agents,5926
19,en.wikipedia,Bitcoin,daily,2020012000,all-access,all-agents,6055
20,en.wikipedia,Bitcoin,daily,2020012100,all-access,all-agents,6343
21,en.wikipedia,Bitcoin,daily,2020012200,all-access,all-agents,6807
22,en.wikipedia,Bitcoin,daily,2020012300,all-access,all-agents,6236
23,en.wikipedia,Bitcoin,daily,2020012400,all-access,all-agents,5847
24,en.wikipedia,Bitcoin,daily,2020012500,all-access,all-agents,5058
25,en.wikipedia,Bitcoin,daily,2020012600,all-access,all-agents,4781
26,en.wikipedia,Bitcoin,daily,2020012700,all-access,all-agents,5561
27,en.wikipedia,Bitcoin,daily,2020012800,all-access,all-agents,6187
