date,views
2020-01-01,12716
2020-01-02,12265
2020-01-03,15018
2020-01-04,8099
2020-01-05,6024
2020-01-06,8450
2020-01-07,15005
2020-01-08,14892
2020-01-09,16008
2020-01-10,12923
2020-01-11,7131
2020-01-12,15858
2020-01-13,16539
2020-01-14,17602
2020-01-15,16450
2020-01-16,7114
2020-01-17,6076
2020-01-18,7405
2020-01-19,5926
2020-01-20,6055
2020-01-21,6343
2020-01-22,6807
2020-01-23,6236
2020-01-24,5847
2020-01-25,5058
2020-01-26,4781
2020-01-27,5561
2020-01-28,6187
2020-01-29,5904
2020-01-30,6149
2020-01-31,5802
2020-02-01,4979
2020-02-02,5268
2020-02-03,5324
2020-02-04,5800
2020-02-05,6282
2020-02-06,6024
2020-02-07,6100
2020-02-08,6136
2020-02-09,6815
2020-02-10,6760
2020-02-11,7850
2020-02-12,7157
2020-02-13,7236
2020-02-14,5676
2020-02-15,5526
2020-02-16,5675
2020-02-17,6425
2020-02-18,6467
2020-02-19,14975
2020-02-20,8107
2020-02-21,8065
2020-02-22,6544
2020-02-23,6111
2020-02-24,7149
2020-02-25,6576
2020-02-26,6459
2020-02-27,6707
2020-02-28,6434
2020-02-29,5348
2020-03-01,6902
2020-03-02,6572
2020-03-03,7543
2020-03-04,7554
2020-03-05,7666
2020-03-06,6754
2020-03-07,5541
2020-03-08,5332
2020-03-09,7397
2020-03-10,7188
2020-03-11,6614
2020-03-12,8281
2020-03-13,9562
2020-03-14,6505
2020-03-15,6228
2020-03-16,7018
2020-03-17,6889
2020-03-18,6672
2020-03-19,6983
2020-03-20,6418
2020-03-21,5856
2020-03-22,5781
2020-03-23,5902
2020-03-24,6507
2020-03-25,6777
2020-03-26,6493
2020-03-27,6331
2020-03-28,5868
2020-03-29,5861
2020-03-30,6489
2020-03-31,6428
2020-04-01,8179
2020-04-02,7492
2020-04-03,8155
2020-04-04,7223
2020-04-05,6686
2020-04-06,6912
2020-04-07,7291
2020-04-08,7040
2020-04-09,6963
2020-04-10,7025
2020-04-11,7014
2020-04-12,6944
2020-04-13,7919
2020-04-14,7586
2020-04-15,7349
2020-04-16,7570
2020-04-17,8304
2020-04-18,7660
2020-04-19,7748
2020-04-20,7923
2020-04-21,8177
2020-04-22,7908
2020-04-23,8377
2020-04-24,7954
2020-04-25,7881
2020-04-26,8763
2020-04-27,9113
2020-04-28,8978
2020-04-29,9876
2020-04-30,11380
2020-05-01,9218
2020-05-02,9155
2020-05-03,8902
2020-05-04,9190
2020-05-05,9652
2020-05-06,10397
2020-05-07,9622
2020-05-08,11682
2020-05-09,8841
2020-05-10,9887
2020-05-11,12137
2020-05-12,17241
2020-05-13,9328
2020-05-14,9072
2020-05-15,8980
2020-05-16,8432
2020-05-17,8609
2020-05-18,9317
2020-05-19,8274
2020-05-20,8888
2020-05-21,8568
2020-05-22,7566
2020-05-23,7046
2020-05-24,6879
2020-05-25,7548
2020-05-26,8218
2020-05-27,7377
2020-05-28,6751
2020-05-29,7536
2020-05-30,6458
2020-05-31,6123
2020-06-01,6294
2020-06-02,7213
2020-06-03,6680
2020-06-04,6721
2020-06-05,6924
2020-06-06,5989
2020-06-07,6859
2020-06-08,7108
2020-06-09,6859
2020-06-10,7010
2020-06-11,6831
2020-06-12,6579
2020-06-13,5793
2020-06-14,5857
2020-06-15,6219
2020-06-16,5829
2020-06-17,6120
2020-06-18,6340
2020-06-19,5849
2020-06-20,5842
2020-06-21,5773
2020-06-22,6467
2020-06-23,6693
2020-06-24,5974
2020-06-25,5841
2020-06-26,6051
2020-06-27,5447
2020-06-28,5774
2020-06-29,5786
2020-06-30,6301
2020-07-01,6932
2020-07-02,5969
2020-07-03,5866
2020-07-04,5377
2020-07-05,5292
2020-07-06,5978
2020-07-07,6579
2020-07-08,6785
2020-07-09,6907
2020-07-10,6304
2020-07-11,5994
2020-07-12,7269
2020-07-13,8150
2020-07-14,10336
2020-07-15,12225
2020-07-16,16964
2020-07-17,17078
2020-07-18,13425
2020-07-19,13702
2020-07-20,13855
2020-07-21,14370
2020-07-22,19095
2020-07-23,22765
2020-07-24,11893
2020-07-25,13391
2020-07-26,13741
2020-07-27,17750
