date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2020-01-01,58,,,,
2020-01-02,66,,,,
2020-01-03,75,,,,
2020-01-04,70,,,,
2020-01-05,67,14.0,False,0.14,9.38
2020-01-06,70,14.0,,0.14,9.8
2020-01-07,85,14.0,,0.14,11.9
2020-01-08,92,14.0,,0.14,12.88
2020-01-09,71,14.0,,0.14,9.940000000000001
2020-01-10,76,14.0,,0.14,10.64
2020-01-11,68,14.0,,0.14,9.520000000000001
2020-01-12,63,15.0,False,0.15,9.45
2020-01-13,70,15.0,,0.15,10.5
2020-01-14,99,15.0,,0.15,14.85
2020-01-15,100,15.0,,0.15,15.0
2020-01-16,83,15.0,,0.15,12.45
2020-01-17,87,15.0,,0.15,13.049999999999999
2020-01-18,75,15.0,,0.15,11.25
2020-01-19,80,12.0,False,0.12,9.6
2020-01-20,72,12.0,,0.12,8.64
2020-01-21,66,12.0,,0.12,7.92
2020-01-22,63,12.0,,0.12,7.56
2020-01-23,75,12.0,,0.12,9.0
2020-01-24,61,12.0,,0.12,7.319999999999999
2020-01-25,53,12.0,,0.12,6.359999999999999
2020-01-26,51,13.0,False,0.13,6.63
2020-01-27,71,13.0,,0.13,9.23
2020-01-28,82,13.0,,0.13,10.66
2020-01-29,77,13.0,,0.13,10.01
2020-01-30,89,13.0,,0.13,11.57
2020-01-31,77,13.0,,0.13,10.01
2020-02-01,70,13.0,,0.13,9.1
2020-02-02,64,14.0,False,0.14,8.96
2020-02-03,63,14.0,,0.14,8.82
2020-02-04,74,14.0,,0.14,10.360000000000001
2020-02-05,81,14.0,,0.14,11.340000000000002
2020-02-06,69,14.0,,0.14,9.66
2020-02-07,71,14.0,,0.14,9.940000000000001
2020-02-08,72,14.0,,0.14,10.080000000000002
2020-02-09,100,17.0,False,0.17,17.0
2020-02-10,87,17.0,,0.17,14.790000000000001
2020-02-11,86,17.0,,0.17,14.620000000000001
2020-02-12,96,17.0,,0.17,16.32
2020-02-13,93,17.0,,0.17,15.81
2020-02-14,82,17.0,,0.17,13.940000000000001
2020-02-15,82,17.0,,0.17,13.940000000000001
2020-02-16,78,14.0,False,0.14,10.920000000000002
2020-02-17,92,14.0,,0.14,12.88
2020-02-18,74,14.0,,0.14,10.360000000000001
2020-02-19,85,14.0,,0.14,11.9
2020-02-20,78,14.0,,0.14,10.920000000000002
2020-02-21,67,14.0,,0.14,9.38
2020-02-22,70,14.0,,0.14,9.8
2020-02-23,68,15.0,False,0.15,10.2
2020-02-24,78,15.0,,0.15,11.7
2020-02-25,74,15.0,,0.15,11.1
2020-02-26,83,15.0,,0.15,12.45
2020-02-27,88,15.0,,0.15,13.2
2020-02-28,89,15.0,,0.15,13.35
2020-02-29,68,15.0,,0.15,10.2
2020-03-01,27,13.0,False,0.13,3.5100000000000002
2020-03-02,29,13.0,,0.13,3.77
2020-03-03,27,13.0,,0.13,3.5100000000000002
2020-03-04,27,13.0,,0.13,3.5100000000000002
2020-03-05,26,13.0,,0.13,3.38
2020-03-06,26,13.0,,0.13,3.38
2020-03-07,26,13.0,,0.13,3.38
2020-03-08,30,25.0,False,0.25,7.5
2020-03-09,50,25.0,,0.25,12.5
2020-03-10,34,25.0,,0.25,8.5
2020-03-11,33,25.0,,0.25,8.25
2020-03-12,66,25.0,,0.25,16.5
2020-03-13,100,25.0,,0.25,25.0
2020-03-14,59,25.0,,0.25,14.75
2020-03-15,43,24.0,False,0.24,10.32
2020-03-16,69,24.0,,0.24,16.56
2020-03-17,52,24.0,,0.24,12.48
2020-03-18,47,24.0,,0.24,11.28
2020-03-19,54,24.0,,0.24,12.959999999999999
2020-03-20,48,24.0,,0.24,11.52
2020-03-21,42,24.0,,0.24,10.08
2020-03-22,44,18.0,False,0.18,7.92
2020-03-23,41,18.0,,0.18,7.38
2020-03-24,45,18.0,,0.18,8.1
2020-03-25,39,18.0,,0.18,7.02
2020-03-26,35,18.0,,0.18,6.3
2020-03-27,36,18.0,,0.18,6.4799999999999995
2020-03-28,34,18.0,,0.18,6.12
2020-03-29,33,15.0,False,0.15,4.95
2020-03-30,32,15.0,,0.15,4.8
2020-03-31,29,15.0,,0.15,4.35
2020-04-01,55,15.0,,0.15,8.25
2020-04-02,57,15.0,,0.15,8.549999999999999
2020-04-03,59,15.0,,0.15,8.85
2020-04-04,50,15.0,,0.15,7.5
2020-04-05,54,16.0,False,0.16,8.64
2020-04-06,65,16.0,,0.16,10.4
