date,btc_google_trend
2020-01-01,9.38
2020-01-02,9.38
2020-01-03,9.38
2020-01-04,9.38
2020-01-05,9.38
2020-01-06,9.8
2020-01-07,11.9
2020-01-08,12.88
2020-01-09,9.940000000000001
2020-01-10,10.64
2020-01-11,9.520000000000001
2020-01-12,9.45
2020-01-13,10.5
2020-01-14,14.85
2020-01-15,15.0
2020-01-16,12.45
2020-01-17,13.049999999999999
2020-01-18,11.25
2020-01-19,9.6
2020-01-20,8.64
2020-01-21,7.92
2020-01-22,7.56
2020-01-23,9.0
2020-01-24,7.319999999999999
2020-01-25,6.359999999999999
2020-01-26,6.63
2020-01-27,9.23
2020-01-28,10.66
2020-01-29,10.01
2020-01-30,11.57
2020-01-31,10.01
2020-02-01,9.1
2020-02-02,8.96
2020-02-03,8.82
2020-02-04,10.360000000000001
2020-02-05,11.340000000000002
2020-02-06,9.66
2020-02-07,9.940000000000001
2020-02-08,10.080000000000002
2020-02-09,17.0
2020-02-10,14.790000000000001
2020-02-11,14.620000000000001
2020-02-12,16.32
2020-02-13,15.81
2020-02-14,13.940000000000001
2020-02-15,13.940000000000001
2020-02-16,10.920000000000002
2020-02-17,12.88
2020-02-18,10.360000000000001
2020-02-19,11.9
2020-02-20,10.920000000000002
2020-02-21,9.38
2020-02-22,9.8
2020-02-23,10.2
2020-02-24,11.7
2020-02-25,11.1
2020-02-26,12.45
2020-02-27,13.2
2020-02-28,13.35
2020-02-29,10.2
2020-03-01,3.5100000000000002
2020-03-02,3.77
2020-03-03,3.5100000000000002
2020-03-04,3.5100000000000002
2020-03-05,3.38
2020-03-06,3.38
2020-03-07,3.38
2020-03-08,7.5
2020-03-09,12.5
2020-03-10,8.5
2020-03-11,8.25
2020-03-12,16.5
2020-03-13,25.0
2020-03-14,14.75
2020-03-15,10.32
2020-03-16,16.56
2020-03-17,12.48
2020-03-18,11.28
2020-03-19,12.959999999999999
2020-03-20,11.52
2020-03-21,10.08
2020-03-22,7.92
2020-03-23,7.38
2020-03-24,8.1
2020-03-25,7.02
2020-03-26,6.3
2020-03-27,6.4799999999999995
2020-03-28,6.12
2020-03-29,4.95
2020-03-30,4.8
2020-03-31,4.35
2020-04-01,8.25
2020-04-02,8.549999999999999
2020-04-03,8.85
2020-04-04,7.5
2020-04-05,8.64
2020-04-06,10.4
2020-04-07,10.08
2020-04-08,9.44
2020-04-09,9.28
2020-04-10,10.24
2020-04-11,8.96
2020-04-12,7.420000000000001
2020-04-13,8.120000000000001
2020-04-14,7.140000000000001
2020-04-15,7.98
2020-04-16,8.4
2020-04-17,7.840000000000001
2020-04-18,7.5600000000000005
2020-04-19,7.5
2020-04-20,8.549999999999999
2020-04-21,7.199999999999999
2020-04-22,7.6499999999999995
2020-04-23,9.0
2020-04-24,9.0
2020-04-25,8.7
2020-04-26,10.64
2020-04-27,10.83
2020-04-28,12.73
2020-04-29,17.48
2020-04-30,19.0
2020-05-01,9.31
2020-05-02,8.74
2020-05-03,11.73
2020-05-04,10.120000000000001
2020-05-05,10.120000000000001
2020-05-06,11.73
2020-05-07,14.49
2020-05-08,17.48
2020-05-09,13.34
2020-05-10,22.62
2020-05-11,26.0
2020-05-12,17.68
2020-05-13,16.12
2020-05-14,14.82
2020-05-15,11.96
2020-05-16,11.96
2020-05-17,8.82
2020-05-18,9.0
2020-05-19,7.38
2020-05-20,7.56
2020-05-21,8.459999999999999
2020-05-22,7.92
2020-05-23,6.84
2020-05-24,6.0
2020-05-25,5.85
2020-05-26,6.0
2020-05-27,5.55
2020-05-28,5.55
2020-05-29,5.25
2020-05-30,4.5
2020-05-31,4.64
2020-06-01,10.56
2020-06-02,16.0
2020-06-03,12.0
2020-06-04,12.48
2020-06-05,10.4
2020-06-06,10.24
2020-06-07,8.82
2020-06-08,9.100000000000001
2020-06-09,9.24
2020-06-10,10.22
2020-06-11,11.200000000000001
2020-06-12,8.96
2020-06-13,8.260000000000002
2020-06-14,7.930000000000001
2020-06-15,8.71
2020-06-16,7.54
2020-06-17,8.19
2020-06-18,6.890000000000001
2020-06-19,6.76
2020-06-20,7.41
2020-06-21,6.11
2020-06-22,8.19
2020-06-23,8.06
2020-06-24,7.800000000000001
2020-06-25,8.19
2020-06-26,7.800000000000001
2020-06-27,7.15
2020-06-28,7.15
2020-06-29,7.930000000000001
2020-06-30,7.15
2020-07-01,5.98
2020-07-02,5.720000000000001
2020-07-03,4.94
2020-07-04,5.2
2020-07-05,4.55
2020-07-06,5.46
2020-07-07,5.720000000000001
2020-07-08,5.720000000000001
2020-07-09,5.720000000000001
2020-07-10,6.11
2020-07-11,5.33
2020-07-12,6.1499999999999995
2020-07-13,6.75
2020-07-14,7.35
2020-07-15,9.0
2020-07-16,10.049999999999999
2020-07-17,7.8
2020-07-18,7.05
2020-07-19,5.2
2020-07-20,5.2
2020-07-21,5.720000000000001
2020-07-22,6.11
2020-07-23,6.63
2020-07-24,5.8500000000000005
2020-07-25,6.37
2020-07-26,11.96
2020-07-27,23.0
2020-07-28,22.310000000000002
2020-07-29,16.1
2020-07-30,15.41
2020-07-31,15.41
2020-08-01,16.79
2020-08-02,21.0
2020-08-03,14.7
2020-08-04,13.44
2020-08-05,13.65
2020-08-06,14.07
2020-08-07,13.229999999999999
2020-08-08,12.18
2020-08-09,9.719999999999999
2020-08-10,12.6
2020-08-11,11.879999999999999
2020-08-12,9.719999999999999
2020-08-13,10.98
2020-08-14,10.62
2020-08-15,10.26
2020-08-16,8.84
2020-08-17,12.24
2020-08-18,11.22
2020-08-19,9.520000000000001
2020-08-20,9.01
2020-08-21,9.350000000000001
2020-08-22,8.33
2020-08-23,5.720000000000001
2020-08-24,5.8500000000000005
2020-08-25,6.24
2020-08-26,6.37
2020-08-27,5.33
2020-08-28,5.720000000000001
2020-08-29,5.33
2020-08-30,7.05
2020-08-31,6.1499999999999995
2020-09-01,13.35
2020-09-02,13.049999999999999
2020-09-03,14.399999999999999
2020-09-04,13.95
2020-09-05,15.0
2020-09-06,10.66
2020-09-07,11.05
2020-09-08,10.92
2020-09-09,10.4
2020-09-10,10.4
2020-09-11,9.23
2020-09-12,8.71
2020-09-13,8.28
2020-09-14,7.92
2020-09-15,9.12
2020-09-16,9.12
2020-09-17,9.0
2020-09-18,7.4399999999999995
2020-09-19,8.52
2020-09-20,7.26
2020-09-21,8.03
2020-09-22,7.15
2020-09-23,7.37
2020-09-24,7.7
2020-09-25,7.92
2020-09-26,8.25
2020-09-27,5.9
2020-09-28,6.7
2020-09-29,6.9
2020-09-30,6.300000000000001
2020-10-01,4.0
2020-10-02,4.1000000000000005
2020-10-03,3.9000000000000004
2020-10-04,3.85
2020-10-05,4.84
2020-10-06,5.06
2020-10-07,4.62
2020-10-08,5.28
2020-10-09,5.72
2020-10-10,6.05
2020-10-11,5.8500000000000005
2020-10-12,7.0200000000000005
2020-10-13,7.0200000000000005
2020-10-14,6.37
2020-10-15,7.0200000000000005
2020-10-16,5.8500000000000005
2020-10-17,5.720000000000001
2020-10-18,8.64
2020-10-19,8.28
2020-10-20,10.44
2020-10-21,17.64
2020-10-22,18.0
2020-10-23,12.24
2020-10-24,11.34
2020-10-25,11.34
2020-10-26,12.42
2020-10-27,14.94
2020-10-28,14.94
2020-10-29,13.68
2020-10-30,12.059999999999999
2020-10-31,13.5
2020-11-01,7.199999999999999
2020-11-02,6.3
2020-11-03,7.02
2020-11-04,5.04
2020-11-05,9.18
2020-11-06,10.62
2020-11-07,7.56
2020-11-08,8.0
2020-11-09,9.0
2020-11-10,8.200000000000001
2020-11-11,8.200000000000001
2020-11-12,9.8
2020-11-13,10.8
2020-11-14,8.0
2020-11-15,12.8
2020-11-16,17.28
2020-11-17,26.240000000000002
2020-11-18,31.36
2020-11-19,23.36
2020-11-20,24.64
2020-11-21,24.96
2020-11-22,24.48
2020-11-23,23.04
2020-11-24,33.12
2020-11-25,28.799999999999997
2020-11-26,36.0
2020-11-27,27.72
2020-11-28,21.599999999999998
2020-11-29,17.490000000000002
2020-11-30,28.05
2020-12-01,17.490000000000002
2020-12-02,12.870000000000001
2020-12-03,11.88
2020-12-04,12.870000000000001
2020-12-05,10.56
2020-12-06,7.199999999999999
2020-12-07,7.68
2020-12-08,7.92
2020-12-09,7.199999999999999
2020-12-10,7.68
2020-12-11,6.72
2020-12-12,6.24
2020-12-13,10.08
2020-12-14,11.76
2020-12-15,12.6
2020-12-16,25.2
2020-12-17,42.0
2020-12-18,26.88
2020-12-19,21.84
2020-12-20,19.6
2020-12-21,23.200000000000003
2020-12-22,20.0
2020-12-23,18.400000000000002
2020-12-24,17.2
2020-12-25,18.0
2020-12-26,25.200000000000003
2020-12-27,47.199999999999996
2020-12-28,40.71
2020-12-29,38.35
2020-12-30,44.839999999999996
2020-12-31,44.25
2021-01-01,18.88
2021-01-02,37.169999999999995
2021-01-03,72.52
2021-01-04,58.8
2021-01-05,49.0
2021-01-06,52.92
2021-01-07,80.36
2021-01-08,86.24
2021-01-09,60.76
2021-01-10,60.16
2021-01-11,94.0
2021-01-12,68.61999999999999
2021-01-13,56.4
2021-01-14,58.279999999999994
2021-01-15,50.76
2021-01-16,38.54
2021-01-17,24.599999999999998
2021-01-18,21.599999999999998
2021-01-19,22.8
2021-01-20,22.8
2021-01-21,28.2
2021-01-22,31.799999999999997
2021-01-23,20.4
2021-01-24,16.529999999999998
2021-01-25,17.669999999999998
2021-01-26,18.81
2021-01-27,19.95
2021-01-28,22.799999999999997
2021-01-29,37.05
2021-01-30,21.659999999999997
2021-01-31,17.68
2021-02-01,19.240000000000002
2021-02-02,19.76
2021-02-03,19.240000000000002
2021-02-04,20.28
2021-02-05,19.240000000000002
2021-02-06,23.92
2021-02-07,35.2
2021-02-08,79.2
2021-02-09,88.0
2021-02-10,56.32
2021-02-11,52.8
2021-02-12,51.92
2021-02-13,43.12
2021-02-14,44.37
2021-02-15,46.11
2021-02-16,55.68
2021-02-17,57.42
2021-02-18,53.07
2021-02-19,63.51
2021-02-20,70.47
2021-02-21,58.08
2021-02-22,64.24
2021-02-23,84.48
2021-02-24,59.84
2021-02-25,46.64
2021-02-26,47.52
2021-02-27,38.72
2021-02-28,29.58
2021-03-01,56.839999999999996
2021-03-02,51.62
2021-03-03,47.559999999999995
2021-03-04,46.4
2021-03-05,48.13999999999999
2021-03-06,38.86
2021-03-07,39.33
2021-03-08,46.739999999999995
2021-03-09,48.449999999999996
2021-03-10,48.449999999999996
2021-03-11,47.879999999999995
2021-03-12,45.029999999999994
2021-03-13,56.99999999999999
2021-03-14,53.01
2021-03-15,51.87
2021-03-16,47.879999999999995
2021-03-17,47.879999999999995
2021-03-18,47.309999999999995
2021-03-19,39.33
2021-03-20,36.48
2021-03-21,30.16
2021-03-22,37.44
2021-03-23,40.04
2021-03-24,44.2
2021-03-25,47.32
2021-03-26,37.44
2021-03-27,32.24
2021-03-28,30.68
2021-03-29,37.44
2021-03-30,35.88
2021-03-31,37.44
2021-04-01,39.52
2021-04-02,27.04
2021-04-03,22.36
2021-04-04,18.06
2021-04-05,19.78
2021-04-06,20.21
2021-04-07,18.919999999999998
2021-04-08,21.07
2021-04-09,17.2
2021-04-10,19.78
2021-04-11,28.52
2021-04-12,29.14
2021-04-13,42.16
2021-04-14,48.98
2021-04-15,39.68
2021-04-16,53.32
2021-04-17,40.3
2021-04-18,72.0
2021-04-19,59.76
2021-04-20,53.28
2021-04-21,42.48
2021-04-22,48.239999999999995
2021-04-23,67.67999999999999
2021-04-24,46.8
2021-04-25,29.580000000000002
2021-04-26,35.19
2021-04-27,33.15
2021-04-28,28.05
2021-04-29,26.01
2021-04-30,24.990000000000002
2021-05-01,12.75
2021-05-02,12.25
2021-05-03,13.23
2021-05-04,15.68
2021-05-05,16.169999999999998
2021-05-06,14.209999999999999
2021-05-07,14.209999999999999
2021-05-08,13.719999999999999
2021-05-09,20.46
2021-05-10,19.8
2021-05-11,19.8
2021-05-12,21.12
2021-05-13,49.5
2021-05-14,28.380000000000003
2021-05-15,21.78
2021-05-16,36.0
2021-05-17,54.0
2021-05-18,41.0
2021-05-19,100.0
2021-05-20,73.0
2021-05-21,56.0
2021-05-22,47.0
2021-05-23,55.099999999999994
2021-05-24,53.199999999999996
