S&P/ASX 200 Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group,Real Estate,"1,679,500,000",0.1,,"1,725,892,904,000",
ABC,Adbri Ltd,Materials,"1,930,710,000",0.11,,,
APT,Afterpay Ltd,Information Technology,"12,767,000,000",0.74,,Sector Breakdown,
AGL,AGL Energy Ltd,Utilities,"10,537,700,000",0.61,,Consumer Discretionary,7.08
ALQ,Als Ltd,Industrials,"3,401,100,000",0.2,,Consumer Staples,6.02
ALU,Altium Ltd,Information Technology,"4,886,330,000",0.28,,Energy,4.49
AWC,Alumina Ltd,Materials,"4,362,960,000",0.25,,Financials,25
AMC,Amcor Plc,Materials,"14,532,200,000",0.84,,Health Care,12.3
AMP,AMP Ltd,Financials,"5,756,300,000",0.33,,Industrials,7.68
ANN,Ansell Ltd,Health Care,"4,596,140,000",0.27,,Information Technology,3.6
APE,AP Eagers Ltd,Consumer Discretionary,"1,677,770,000",0.1,,Materials,20
APA,APA Group,Utilities,"13,592,400,000",0.79,,Real Estate,6.67
APX,Appen Ltd,Information Technology,"3,750,440,000",0.22,,Telecommunication Services,2.66
ARB,ARB Corporation Ltd,Consumer Discretionary,"1,378,670,000",0.08,,Utilities,1.98
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,"16,908,600,000",0.98,,,
ASX,ASX Ltd,Financials,"17,015,100,000",0.99,,,
ALX,Atlas Arteria,Industrials,"5,802,580,000",0.34,,,
AZJ,Aurizon Holdings Ltd,Industrials,"9,180,470,000",0.53,,,
AST,Ausnet Services Ltd,Utilities,"6,521,970,000",0.38,,,
ASB,Austal Ltd,Industrials,"1,301,370,000",0.08,,,
ANZ,Australia and New Zealand Banking Group Ltd,Financials,"51,193,000,000",2.97,,,
AVH,Avita Medical Ltd,Health Care,"1,045,380,000",0.06,,,
BOQ,Bank of Queensland Ltd,Financials,"2,380,720,000",0.14,,,
BAP,Bapcor Ltd,Consumer Discretionary,"1,999,140,000",0.12,,,
BPT,Beach Energy Ltd,Energy,"3,808,950,000",0.22,,,
BGA,Bega Cheese Ltd,Consumer Staples,"1,140,810,000",0.07,,,
BEN,Bendigo and Adelaide Bank Ltd,Financials,"3,291,010,000",0.19,,,
BHP,BHP Group Ltd,Materials,"105,196,000,000",6.1,,,
BIN,Bingo Industries Ltd,Industrials,"1,654,140,000",0.1,,,
BKL,Blackmores Ltd,Consumer Staples,"1,444,250,000",0.08,,,
BSL,Bluescope Steel Ltd,Materials,"5,639,540,000",0.33,,,
BLD,Boral Ltd,Materials,"4,069,170,000",0.24,,,
BXB,Brambles Ltd,Industrials,"17,635,900,000",1.02,,,
BVS,Bravura Solutions Ltd,Information Technology,"1,194,840,000",0.07,,,
BRG,Breville Group Ltd,Consumer Discretionary,"3,076,680,000",0.18,,,
BKW,Brickworks Ltd,Materials,"2,343,520,000",0.14,,,
BWP,BWP Trust,Real Estate,"2,370,400,000",0.14,,,
CTX,Caltex Australia Ltd,Energy,"6,322,580,000",0.37,,,
CAR,Carsales.com Ltd,Communication Services,"3,995,770,000",0.23,,,
CGF,Challenger Ltd,Financials,"3,024,760,000",0.18,,,
CHC,Charter Hall Group,Real Estate,"4,541,330,000",0.26,,,
CLW,Charter Hall Long Wale REIT,Real Estate,"2,078,720,000",0.12,,,
